success_rate,avg_reward,reward_std,avg_steps,avg_battery_left,avg_hazard_violations,avg_path_efficiency,run_id,hp_learning_rate,hp_n_steps,hp_gamma,hp_gae_lambda,hp_ent_coef,hp_vf_coef,train_seconds
0.0,-117.78333333333333,44.12532971233441,22.5,15.969638974080963,3.3333333333333335,1.1950613260269165,a2c_10,0.0007,5,0.99,0.9,0.0,0.5,292.2
0.0,-120.61666666666666,51.588061172674,24.566666666666666,11.863108424544071,4.8,1.0658718347549438,a2c_07,0.0007,5,0.99,1.0,0.05,0.5,296.6
0.0,-120.8,48.041926134020336,22.933333333333334,14.207722741829048,6.2,1.1857434511184692,a2c_08,0.0007,5,0.999,1.0,0.0,0.5,297.6
0.0,-122.13333333333334,52.37826096981669,22.133333333333333,15.984890509104867,4.766666666666667,1.125500202178955,a2c_06,0.0007,5,0.99,1.0,0.01,0.5,295.7
0.0,-122.86666666666666,60.98550829682591,21.2,17.549996655297694,4.966666666666667,1.3806366920471191,a2c_01,0.0007,5,0.99,1.0,0.0,0.5,297.5
0.0,-126.51666666666667,56.72425749967018,25.433333333333334,9.274766387529473,6.133333333333334,0.9832428693771362,a2c_09,0.0007,5,0.99,1.0,0.0,0.25,286.9
0.0,-127.28333333333333,64.16848698716701,25.1,10.451098507749984,4.966666666666667,0.9851149320602417,a2c_02,0.0001,5,0.99,1.0,0.0,0.5,286.9
0.0,-134.01666666666668,39.374586417581014,25.9,8.580821035839298,4.433333333333334,1.1025466918945312,a2c_04,0.0007,20,0.99,1.0,0.0,0.5,213.4
0.0,-135.53333333333333,75.15849179493219,25.2,9.51776517441665,4.3,0.9826337695121765,a2c_03,0.001,5,0.99,1.0,0.0,0.5,289.8
0.0,-144.85,62.34168616049243,25.566666666666666,8.176577694603832,7.933333333333334,1.1082818508148193,a2c_05,0.0007,1,0.99,1.0,0.0,0.5,714.6
