success_rate,avg_reward,reward_std,avg_steps,avg_battery_left,avg_hazard_violations,avg_path_efficiency,terminal_events,milestone_funnel,run_id,hp_learning_rate,hp_buffer_size,hp_batch_size,hp_gamma,hp_exploration_fraction,hp_target_update_interval,train_seconds
0.0,-110.26666666666667,35.15269864778836,32.2,38.45,5.033333333333333,1.0204954147338867,"{'Battery depleted': 14, 'Entered no-fly zone': 7, 'Crashed into mountain': 9}","{'visited_charger': 3.3, 'reached_clinic': 6.7}",dqn_03,0.001,5000,32,0.99,0.1,500,153.8
0.0,-110.81666666666666,37.2374102512812,30.833333333333332,38.766666666666666,5.0,1.1217684745788574,"{'Battery depleted': 13, 'Entered no-fly zone': 7, 'Crashed into mountain': 10}","{'reached_clinic': 3.3, 'reached_hospital': 3.3, 'visited_charger': 3.3}",dqn_07,0.001,50000,32,0.999,0.1,500,152.9
0.0,-112.71666666666667,44.270321761750154,31.033333333333335,36.93333333333333,4.433333333333334,1.0526988506317139,"{'Battery depleted': 13, 'Crashed into mountain': 9, 'Entered no-fly zone': 8}","{'reached_clinic': 13.3, 'reached_hospital': 3.3, 'visited_charger': 3.3}",dqn_01,0.001,50000,32,0.99,0.1,500,159.7
0.0,-112.98333333333333,46.029425974647516,28.1,42.2,6.333333333333333,1.1239031553268433,"{'Entered no-fly zone': 8, 'Crashed into mountain': 11, 'Battery depleted': 11}","{'reached_hospital': 10.0, 'reached_clinic': 10.0}",dqn_04,0.001,200000,32,0.99,0.1,500,150.0
0.0,-118.01666666666667,42.99408551055469,32.36666666666667,36.8,4.666666666666667,1.2050707340240479,"{'Crashed into mountain': 11, 'Battery depleted': 15, 'Entered no-fly zone': 4}","{'reached_clinic': 6.7, 'visited_charger': 3.3}",dqn_06,0.001,50000,32,0.95,0.1,500,152.6
0.0,-125.38333333333334,45.85315026133852,32.43333333333333,35.13333333333333,8.566666666666666,1.1974586248397827,"{'Crashed into mountain': 12, 'Battery depleted': 14, 'Entered no-fly zone': 4}",{'reached_clinic': 6.7},dqn_02,0.0001,50000,32,0.99,0.1,500,152.1
0.0,-135.08333333333334,75.62341825710399,30.566666666666666,37.15,7.633333333333334,1.3485300540924072,"{'Battery depleted': 15, 'Crashed into mountain': 11, 'Entered no-fly zone': 4}","{'reached_clinic': 3.3, 'visited_charger': 3.3}",dqn_05,0.001,50000,128,0.99,0.1,500,152.3
0.0,-162.08333333333334,66.62720707205295,51.63333333333333,30.316666666666666,6.466666666666667,1.0452607870101929,"{'Battery depleted': 17, 'Crashed into mountain': 8, 'Entered no-fly zone': 5}","{'visited_charger': 3.3, 'reached_clinic': 3.3}",dqn_08,0.001,50000,32,0.99,0.3,500,145.6
0.0,-169.88333333333333,135.47279452183582,52.63333333333333,24.933333333333334,7.9,0.8663661479949951,"{'Crashed into mountain': 8, 'Battery depleted': 18, 'Entered no-fly zone': 4}","{'visited_charger': 3.3, 'reached_clinic': 3.3, 'reached_hospital': 3.3}",dqn_09,0.001,50000,32,0.99,0.1,2000,152.3
0.0,-238.88333333333333,165.0515921024561,83.36666666666666,27.266666666666666,3.2666666666666666,1.332954261203607,"{'Battery depleted': 18, 'Crashed into mountain': 7, 'Entered no-fly zone': 5}","{'visited_charger': 13.3, 'reached_clinic': 10.0}",dqn_10,0.0005,100000,64,0.995,0.2,1000,149.9
