success_rate,avg_reward,reward_std,avg_steps,avg_battery_left,avg_hazard_violations,avg_path_efficiency,run_id,hp_learning_rate,hp_n_steps,hp_batch_size,hp_gamma,hp_gae_lambda,hp_clip_range,hp_ent_coef,hp_n_epochs,train_seconds
0.0,-112.61666666666666,48.865407555402165,22.966666666666665,0.0,5.866666666666666,1.1427979469299316,ppo_09,0.0003,2048,64,0.999,0.95,0.2,0.0,10,271.8
0.0,-115.9,38.36087416452689,20.066666666666666,0.0,5.1,1.2400709390640259,ppo_05,0.0003,4096,64,0.99,0.95,0.2,0.0,10,271.5
0.0,-118.01666666666667,45.52297649417148,23.433333333333334,0.0,4.9,1.152605652809143,ppo_06,0.0003,2048,64,0.99,0.95,0.2,0.01,10,270.6
0.0,-127.7,42.48325160185678,26.6,0.0,6.633333333333334,0.8323962092399597,ppo_03,0.001,2048,64,0.99,0.95,0.2,0.0,10,269.2
0.0,-127.91666666666667,53.96713248718046,20.233333333333334,0.0,7.2,1.2339012622833252,ppo_07,0.0003,2048,64,0.99,0.95,0.1,0.0,10,268.8
0.0,-132.4,54.44345690714357,23.2,0.0,5.666666666666667,1.2280710935592651,ppo_08,0.0003,2048,64,0.99,0.95,0.3,0.0,10,270.7
0.0,-132.88333333333333,57.74825875200818,24.166666666666668,0.0,4.5,1.097388505935669,ppo_01,0.0003,2048,64,0.99,0.95,0.2,0.0,10,277.9
0.0,-137.11666666666667,48.905978389377125,25.166666666666668,0.0,6.533333333333333,0.941789448261261,ppo_02,0.0001,2048,64,0.99,0.95,0.2,0.0,10,274.0
0.0,-137.15,55.445340952449136,24.433333333333334,0.0,8.3,1.000888466835022,ppo_10,0.0003,2048,256,0.99,0.95,0.2,0.0,20,230.1
0.0,-153.16666666666666,70.26821630169805,25.933333333333334,0.0,8.866666666666667,1.0118461847305298,ppo_04,0.0003,512,64,0.99,0.95,0.2,0.0,10,265.7
